q,tau_q,alpha_q,f_alpha
-10.0000,nan,-nan,-nan
-9.9900,nan,-nan,-nan
-9.9800,nan,-nan,-nan
-9.9700,nan,-nan,-nan
-9.9600,nan,-nan,-nan
-9.9500,nan,-nan,-nan
-9.9400,nan,-nan,-nan
-9.9300,nan,-nan,-nan
-9.9200,nan,-nan,-nan
-9.9100,nan,-nan,-nan
-9.9000,nan,-nan,-nan
-9.8900,nan,-nan,-nan
-9.8800,nan,-nan,-nan
-9.8700,nan,-nan,-nan
-9.8600,nan,-nan,-nan
-9.8500,nan,-nan,-nan
-9.8400,nan,-nan,-nan
-9.8300,nan,-nan,-nan
-9.8200,nan,-nan,-nan
-9.8100,nan,-nan,-nan
-9.8000,nan,-nan,-nan
-9.7900,nan,-nan,-nan
-9.7800,nan,-nan,-nan
-9.7700,nan,-nan,-nan
-9.7600,nan,-nan,-nan
-9.7500,nan,-nan,-nan
-9.7400,nan,-nan,-nan
-9.7300,nan,-nan,-nan
-9.7200,nan,-nan,-nan
-9.7100,nan,-nan,-nan
-9.7000,nan,-nan,-nan
-9.6900,nan,-nan,-nan
-9.6800,nan,-nan,-nan
-9.6700,nan,-nan,-nan
-9.6600,nan,-nan,-nan
-9.6500,nan,-nan,-nan
-9.6400,nan,-nan,-nan
-9.6300,nan,-nan,-nan
-9.6200,nan,-nan,-nan
-9.6100,nan,-nan,-nan
-9.6000,nan,-nan,-nan
-9.5900,nan,-nan,-nan
-9.5800,nan,-nan,-nan
-9.5700,nan,-nan,-nan
-9.5600,nan,-nan,-nan
-9.5500,nan,-nan,-nan
-9.5400,nan,-nan,-nan
-9.5300,nan,-nan,-nan
-9.5200,nan,-nan,-nan
-9.5100,nan,-nan,-nan
-9.5000,nan,-nan,-nan
-9.4900,nan,-nan,-nan
-9.4800,nan,-nan,-nan
-9.4700,nan,-nan,-nan
-9.4600,nan,-nan,-nan
-9.4500,nan,-nan,-nan
-9.4400,nan,-nan,-nan
-9.4300,nan,-nan,-nan
-9.4200,nan,-nan,-nan
-9.4100,nan,-nan,-nan
-9.4000,nan,-nan,-nan
-9.3900,nan,-nan,-nan
-9.3800,nan,-nan,-nan
-9.3700,nan,-nan,-nan
-9.3600,nan,-nan,-nan
-9.3500,nan,-nan,-nan
-9.3400,nan,-nan,-nan
-9.3300,nan,-nan,-nan
-9.3200,nan,-nan,-nan
-9.3100,nan,-nan,-nan
-9.3000,nan,-nan,-nan
-9.2900,nan,-nan,-nan
-9.2800,nan,-nan,-nan
-9.2700,nan,-nan,-nan
-9.2600,nan,-nan,-nan
-9.2500,nan,-nan,-nan
-9.2400,nan,-nan,-nan
-9.2300,nan,-nan,-nan
-9.2200,nan,-nan,-nan
-9.2100,nan,-nan,-nan
-9.2000,nan,-nan,-nan
-9.1900,nan,-nan,-nan
-9.1800,nan,-nan,-nan
-9.1700,nan,-nan,-nan
-9.1600,nan,-nan,-nan
-9.1500,nan,-nan,-nan
-9.1400,nan,-nan,-nan
-9.1300,nan,-nan,-nan
-9.1200,nan,-nan,-nan
-9.1100,nan,-nan,-nan
-9.1000,nan,-nan,-nan
-9.0900,nan,-nan,-nan
-9.0800,nan,-nan,-nan
-9.0700,nan,-nan,-nan
-9.0600,nan,-nan,-nan
-9.0500,nan,-nan,-nan
-9.0400,nan,-nan,-nan
-9.0300,nan,-nan,-nan
-9.0200,nan,-nan,-nan
-9.0100,nan,-nan,-nan
-9.0000,nan,-nan,-nan
-8.9900,nan,-nan,-nan
-8.9800,nan,-nan,-nan
-8.9700,nan,-nan,-nan
-8.9600,nan,-nan,-nan
-8.9500,nan,-nan,-nan
-8.9400,nan,-nan,-nan
-8.9300,nan,-nan,-nan
-8.9200,nan,-nan,-nan
-8.9100,nan,-nan,-nan
-8.9000,nan,-nan,-nan
-8.8900,nan,-nan,-nan
-8.8800,nan,-nan,-nan
-8.8700,nan,-nan,-nan
-8.8600,nan,-nan,-nan
-8.8500,nan,-nan,-nan
-8.8400,nan,-nan,-nan
-8.8300,nan,-nan,-nan
-8.8200,nan,-nan,-nan
-8.8100,nan,-nan,-nan
-8.8000,nan,-nan,-nan
-8.7900,nan,-nan,-nan
-8.7800,nan,-nan,-nan
-8.7700,nan,-nan,-nan
-8.7600,nan,-nan,-nan
-8.7500,nan,-nan,-nan
-8.7400,nan,-nan,-nan
-8.7300,nan,-nan,-nan
-8.7200,nan,-nan,-nan
-8.7100,nan,-nan,-nan
-8.7000,nan,-nan,-nan
-8.6900,nan,-nan,-nan
-8.6800,nan,-nan,-nan
-8.6700,nan,-nan,-nan
-8.6600,nan,-nan,-nan
-8.6500,nan,-nan,-nan
-8.6400,nan,-nan,-nan
-8.6300,nan,-nan,-nan
-8.6200,nan,-nan,-nan
-8.6100,nan,-nan,-nan
-8.6000,nan,-nan,-nan
-8.5900,nan,-nan,-nan
-8.5800,nan,-nan,-nan
-8.5700,nan,-nan,-nan
-8.5600,nan,-nan,-nan
-8.5500,nan,-nan,-nan
-8.5400,nan,-nan,-nan
-8.5300,nan,-nan,-nan
-8.5200,nan,-nan,-nan
-8.5100,nan,-nan,-nan
-8.5000,nan,-nan,-nan
-8.4900,nan,-nan,-nan
-8.4800,nan,-nan,-nan
-8.4700,nan,-nan,-nan
-8.4600,nan,-nan,-nan
-8.4500,nan,-nan,-nan
-8.4400,nan,-nan,-nan
-8.4300,nan,-nan,-nan
-8.4200,nan,-nan,-nan
-8.4100,nan,-nan,-nan
-8.4000,nan,-nan,-nan
-8.3900,nan,-nan,-nan
-8.3800,nan,-nan,-nan
-8.3700,nan,-nan,-nan
-8.3600,nan,-nan,-nan
-8.3500,nan,-nan,-nan
-8.3400,nan,-nan,-nan
-8.3300,nan,-nan,-nan
-8.3200,nan,-nan,-nan
-8.3100,nan,-nan,-nan
-8.3000,nan,-nan,-nan
-8.2900,nan,-nan,-nan
-8.2800,nan,-nan,-nan
-8.2700,nan,-nan,-nan
-8.2600,nan,-nan,-nan
-8.2500,nan,-nan,-nan
-8.2400,nan,-nan,-nan
-8.2300,nan,-nan,-nan
-8.2200,nan,-nan,-nan
-8.2100,nan,-nan,-nan
-8.2000,nan,-nan,-nan
-8.1900,nan,-nan,-nan
-8.1800,nan,-nan,-nan
-8.1700,nan,-nan,-nan
-8.1600,nan,-nan,-nan
-8.1500,nan,-nan,-nan
-8.1400,nan,-nan,-nan
-8.1300,nan,-nan,-nan
-8.1200,nan,-nan,-nan
-8.1100,nan,-nan,-nan
-8.1000,nan,-nan,-nan
-8.0900,nan,-nan,-nan
-8.0800,nan,-nan,-nan
-8.0700,nan,-nan,-nan
-8.0600,nan,-nan,-nan
-8.0500,nan,-nan,-nan
-8.0400,nan,-nan,-nan
-8.0300,nan,-nan,-nan
-8.0200,nan,-nan,-nan
-8.0100,nan,-nan,-nan
-8.0000,nan,-nan,-nan
-7.9900,nan,-nan,-nan
-7.9800,nan,-nan,-nan
-7.9700,nan,-nan,-nan
-7.9600,nan,-nan,-nan
-7.9500,nan,-nan,-nan
-7.9400,nan,-nan,-nan
-7.9300,nan,-nan,-nan
-7.9200,nan,-nan,-nan
-7.9100,nan,-nan,-nan
-7.9000,nan,-nan,-nan
-7.8900,nan,-nan,-nan
-7.8800,nan,-nan,-nan
-7.8700,nan,-nan,-nan
-7.8600,nan,-nan,-nan
-7.8500,nan,-nan,-nan
-7.8400,nan,-nan,-nan
-7.8300,nan,-nan,-nan
-7.8200,nan,-nan,-nan
-7.8100,nan,-nan,-nan
-7.8000,nan,-nan,-nan
-7.7900,nan,-nan,-nan
-7.7800,nan,-nan,-nan
-7.7700,nan,-nan,-nan
-7.7600,nan,-nan,-nan
-7.7500,nan,-nan,-nan
-7.7400,nan,-nan,-nan
-7.7300,nan,-nan,-nan
-7.7200,nan,-nan,-nan
-7.7100,nan,-nan,-nan
-7.7000,nan,-nan,-nan
-7.6900,nan,-nan,-nan
-7.6800,nan,-nan,-nan
-7.6700,nan,-nan,-nan
-7.6600,nan,-nan,-nan
-7.6500,nan,-nan,-nan
-7.6400,nan,-nan,-nan
-7.6300,nan,-nan,-nan
-7.6200,nan,-nan,-nan
-7.6100,nan,-nan,-nan
-7.6000,nan,-nan,-nan
-7.5900,nan,-nan,-nan
-7.5800,nan,-nan,-nan
-7.5700,nan,-nan,-nan
-7.5600,nan,-nan,-nan
-7.5500,nan,-nan,-nan
-7.5400,nan,-nan,-nan
-7.5300,nan,-nan,-nan
-7.5200,nan,-nan,-nan
-7.5100,nan,-nan,-nan
-7.5000,nan,-nan,-nan
-7.4900,nan,-nan,-nan
-7.4800,nan,-nan,-nan
-7.4700,nan,-nan,-nan
-7.4600,nan,-nan,-nan
-7.4500,nan,-nan,-nan
-7.4400,nan,-nan,-nan
-7.4300,nan,-nan,-nan
-7.4200,nan,-nan,-nan
-7.4100,nan,-nan,-nan
-7.4000,nan,-nan,-nan
-7.3900,nan,-nan,-nan
-7.3800,nan,-nan,-nan
-7.3700,nan,-nan,-nan
-7.3600,nan,-nan,-nan
-7.3500,nan,-nan,-nan
-7.3400,nan,-nan,-nan
-7.3300,nan,-nan,-nan
-7.3200,nan,-nan,-nan
-7.3100,nan,-nan,-nan
-7.3000,nan,-nan,-nan
-7.2900,nan,-nan,-nan
-7.2800,nan,-nan,-nan
-7.2700,nan,-nan,-nan
-7.2600,nan,-nan,-nan
-7.2500,nan,-nan,-nan
-7.2400,nan,-nan,-nan
-7.2300,nan,-nan,-nan
-7.2200,nan,-nan,-nan
-7.2100,nan,-nan,-nan
-7.2000,nan,-nan,-nan
-7.1900,nan,-nan,-nan
-7.1800,nan,-nan,-nan
-7.1700,nan,-nan,-nan
-7.1600,nan,-nan,-nan
-7.1500,nan,-nan,-nan
-7.1400,nan,-nan,-nan
-7.1300,nan,-nan,-nan
-7.1200,nan,-nan,-nan
-7.1100,nan,-nan,-nan
-7.1000,nan,-nan,-nan
-7.0900,nan,-nan,-nan
-7.0800,nan,-nan,-nan
-7.0700,nan,-nan,-nan
-7.0600,nan,-nan,-nan
-7.0500,nan,-nan,-nan
-7.0400,nan,-nan,-nan
-7.0300,nan,-nan,-nan
-7.0200,nan,-nan,-nan
-7.0100,nan,-nan,-nan
-7.0000,nan,-nan,-nan
-6.9900,nan,-nan,-nan
-6.9800,nan,-nan,-nan
-6.9700,nan,-nan,-nan
-6.9600,nan,-nan,-nan
-6.9500,nan,-nan,-nan
-6.9400,nan,-nan,-nan
-6.9300,nan,-nan,-nan
-6.9200,nan,-nan,-nan
-6.9100,nan,-nan,-nan
-6.9000,nan,-nan,-nan
-6.8900,nan,-nan,-nan
-6.8800,nan,-nan,-nan
-6.8700,nan,-nan,-nan
-6.8600,nan,-nan,-nan
-6.8500,nan,-nan,-nan
-6.8400,nan,-nan,-nan
-6.8300,nan,-nan,-nan
-6.8200,nan,-nan,-nan
-6.8100,nan,-nan,-nan
-6.8000,nan,-nan,-nan
-6.7900,nan,-nan,-nan
-6.7800,nan,-nan,-nan
-6.7700,nan,-nan,-nan
-6.7600,nan,-nan,-nan
-6.7500,nan,-nan,-nan
-6.7400,nan,-nan,-nan
-6.7300,nan,-nan,-nan
-6.7200,nan,-nan,-nan
-6.7100,nan,-nan,-nan
-6.7000,nan,-nan,-nan
-6.6900,nan,-nan,-nan
-6.6800,nan,-nan,-nan
-6.6700,nan,-nan,-nan
-6.6600,nan,-nan,-nan
-6.6500,nan,-nan,-nan
-6.6400,nan,-nan,-nan
-6.6300,nan,-nan,-nan
-6.6200,nan,-nan,-nan
-6.6100,nan,-nan,-nan
-6.6000,nan,-nan,-nan
-6.5900,nan,-nan,-nan
-6.5800,nan,-nan,-nan
-6.5700,nan,-nan,-nan
-6.5600,nan,-nan,-nan
-6.5500,nan,-nan,-nan
-6.5400,nan,-nan,-nan
-6.5300,nan,-nan,-nan
-6.5200,nan,-nan,-nan
-6.5100,nan,-nan,-nan
-6.5000,nan,-nan,-nan
-6.4900,nan,-nan,-nan
-6.4800,nan,-nan,-nan
-6.4700,nan,-nan,-nan
-6.4600,nan,-nan,-nan
-6.4500,nan,-nan,-nan
-6.4400,nan,-nan,-nan
-6.4300,nan,-nan,-nan
-6.4200,nan,-nan,-nan
-6.4100,nan,-nan,-nan
-6.4000,nan,-nan,-nan
-6.3900,nan,-nan,-nan
-6.3800,nan,-nan,-nan
-6.3700,nan,-nan,-nan
-6.3600,nan,-nan,-nan
-6.3500,nan,-nan,-nan
-6.3400,nan,-nan,-nan
-6.3300,nan,-nan,-nan
-6.3200,nan,-nan,-nan
-6.3100,nan,-nan,-nan
-6.3000,nan,-nan,-nan
-6.2900,nan,-nan,-nan
-6.2800,nan,-nan,-nan
-6.2700,nan,-nan,-nan
-6.2600,nan,-nan,-nan
-6.2500,nan,-nan,-nan
-6.2400,nan,-nan,-nan
-6.2300,nan,-nan,-nan
-6.2200,nan,-nan,-nan
-6.2100,nan,-nan,-nan
-6.2000,nan,-nan,-nan
-6.1900,nan,-nan,-nan
-6.1800,nan,-nan,-nan
-6.1700,nan,-nan,-nan
-6.1600,nan,-nan,-nan
-6.1500,nan,-nan,-nan
-6.1400,nan,-nan,-nan
-6.1300,nan,-nan,-nan
-6.1200,nan,-nan,-nan
-6.1100,nan,-nan,-nan
-6.1000,nan,-nan,-nan
-6.0900,nan,-nan,-nan
-6.0800,nan,-nan,-nan
-6.0700,nan,-nan,-nan
-6.0600,nan,-nan,-nan
-6.0500,nan,-nan,-nan
-6.0400,nan,-nan,-nan
-6.0300,nan,-nan,-nan
-6.0200,nan,-nan,-nan
-6.0100,nan,-nan,-nan
-6.0000,nan,-nan,-nan
-5.9900,nan,-nan,-nan
-5.9800,nan,-nan,-nan
-5.9700,nan,-nan,-nan
-5.9600,nan,-nan,-nan
-5.9500,nan,-nan,-nan
-5.9400,nan,-nan,-nan
-5.9300,nan,-nan,-nan
-5.9200,nan,-nan,-nan
-5.9100,nan,-nan,-nan
-5.9000,nan,-nan,-nan
-5.8900,nan,-nan,-nan
-5.8800,nan,-nan,-nan
-5.8700,nan,-nan,-nan
-5.8600,nan,-nan,-nan
-5.8500,nan,-nan,-nan
-5.8400,nan,-nan,-nan
-5.8300,nan,-nan,-nan
-5.8200,nan,-nan,-nan
-5.8100,nan,-nan,-nan
-5.8000,nan,-nan,-nan
-5.7900,nan,-nan,-nan
-5.7800,nan,-nan,-nan
-5.7700,nan,-nan,-nan
-5.7600,nan,-nan,-nan
-5.7500,nan,-nan,-nan
-5.7400,nan,-nan,-nan
-5.7300,nan,-nan,-nan
-5.7200,nan,-nan,-nan
-5.7100,nan,-nan,-nan
-5.7000,nan,-nan,-nan
-5.6900,nan,-nan,-nan
-5.6800,nan,-nan,-nan
-5.6700,nan,-nan,-nan
-5.6600,nan,-nan,-nan
-5.6500,nan,-nan,-nan
-5.6400,nan,-nan,-nan
-5.6300,nan,-nan,-nan
-5.6200,nan,-nan,-nan
-5.6100,nan,-nan,-nan
-5.6000,nan,-nan,-nan
-5.5900,nan,-nan,-nan
-5.5800,nan,-nan,-nan
-5.5700,nan,-nan,-nan
-5.5600,nan,-nan,-nan
-5.5500,nan,-nan,-nan
-5.5400,nan,-nan,-nan
-5.5300,nan,-nan,-nan
-5.5200,nan,-nan,-nan
-5.5100,nan,-nan,-nan
-5.5000,nan,-nan,-nan
-5.4900,nan,-nan,-nan
-5.4800,nan,-nan,-nan
-5.4700,nan,-nan,-nan
-5.4600,nan,-nan,-nan
-5.4500,nan,-nan,-nan
-5.4400,nan,-nan,-nan
-5.4300,nan,-nan,-nan
-5.4200,nan,-nan,-nan
-5.4100,nan,-nan,-nan
-5.4000,nan,-nan,-nan
-5.3900,nan,-nan,-nan
-5.3800,nan,-nan,-nan
-5.3700,nan,-nan,-nan
-5.3600,nan,-nan,-nan
-5.3500,nan,-nan,-nan
-5.3400,nan,-nan,-nan
-5.3300,nan,-nan,-nan
-5.3200,nan,-nan,-nan
-5.3100,nan,-nan,-nan
-5.3000,nan,-nan,-nan
-5.2900,nan,-nan,-nan
-5.2800,nan,-nan,-nan
-5.2700,nan,-nan,-nan
-5.2600,nan,-nan,-nan
-5.2500,nan,-nan,-nan
-5.2400,nan,-nan,-nan
-5.2300,nan,-nan,-nan
-5.2200,nan,-nan,-nan
-5.2100,nan,-nan,-nan
-5.2000,nan,-nan,-nan
-5.1900,nan,-nan,-nan
-5.1800,nan,-nan,-nan
-5.1700,nan,-nan,-nan
-5.1600,nan,-nan,-nan
-5.1500,nan,-nan,-nan
-5.1400,nan,-nan,-nan
-5.1300,nan,-nan,-nan
-5.1200,nan,-nan,-nan
-5.1100,nan,-nan,-nan
